device,hiddenSize,windowLength,batchSize,ompThreads,trainWindows,trainExcluded,esWindows,epochs,esLoss,relDeltaVsRef,esLossLast10,esSdLast10,totalTrainSeconds,gradNormCount,gradNormMedian,gradNormP99,gradNormP999,gradNormMax,layerNormMedian,layerNormP99,layerNormP999,layerNormMax,learningRate,esCleanWindows,esOutlierWindows,esLossBaseline,trainedOk,trainSeconds,secPerEpoch,sanitized
E,60,60,16,1,1001,7,288,72,0.02110010,,0.03011490,0.00722732,2371.3,4536,458.462677,4224.066406,7735.933594,13659.889648,296.942066,3130.169398,6243.528593,12274.736142,0.001,287,1,0.33073587,true,2371.3,32.9,true
E,60,60,32,1,1001,7,288,58,0.02340648,,0.03989108,0.01383345,1520.3,1856,1258.124634,10059.764648,22111.720703,62494.136719,793.530412,6824.932877,19024.705843,48964.958893,0.001,287,1,0.33073587,true,1520.3,26.2,true
E,60,60,64,1,1001,7,288,74,0.02274606,,0.02448797,0.00496381,1663.2,1184,1734.332031,14734.492188,19683.982422,48054.656250,1107.797307,9900.692838,13024.016204,35636.965977,0.001,287,1,0.33073587,true,1663.2,22.5,true
